設置場所名称,所在地,電話番号,営業時間,急速充電器基数,普通充電器基数,加盟・提携区分,施設カテゴリー,ネットワーク事業者,新規,新規設置利用開始日,備考
ラッキー篠路店,北海道札幌市北区篠路３条４,,09:00 ～ 21:00,1,0,提携,大規模小売店舗,エネゲート,,,【定休日等】定休日・元旦　臨時休業は未定
セイコーマート屯田８条８丁目店,北海道札幌市北区屯田８条８－１４－２５,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート札幌北２３条西３丁目店,北海道札幌市北区北二十三条西３丁目１－１７,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
日産プリンス札幌篠路支店,北海道札幌市北区篠路３条３－１－３６,011-771-5523,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス札幌新琴似支店,北海道札幌市北区新琴似７条１６－４－１５,011-762-2315,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
北海道日産新琴似店,北海道札幌市北区新琴似３条１丁目１－３９,011-717-1231,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
札幌トヨペット　新琴似店,北海道札幌市北区新琴似８条１６丁目１番１号,011-763-0111,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨタ　篠路店,北海道札幌市北区篠路１条５丁目５－１,011-773-7111,09:30 ～ 17:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,, 【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
札幌トヨタ　新琴似店,北海道札幌市北区新琴似８条９丁目１－１,011-763-8811,09:30 ～ 17:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,, 【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
北海道三菱自動車販売（株）北１９条店,北海道札幌市東区北１９条東１丁目３番１号,011-753-8181,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,【利用不可日】年1回メンテナンスのため休止
北海道三菱自動車販売（株）東店,北海道札幌市東区伏古１１条５丁目１番４６号,011-783-8111,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,【利用不可日】年1回メンテナンスのため休止
札幌トヨタ　レクサス東苗穂,北海道札幌市東区本町２条９丁目３番２２号,011-789-5000,09:30 ～ 18:00,1,0,提携,自動車ディーラー,エネゲート,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回30分迄。詳細は店舗へお問合せください。
ファミリーマート　札幌北３７条店,北海道札幌市東区北３７条東２９－７－１０,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート　札幌伏古８条店,北海道札幌市東区伏古８条３－１－３６,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
セイコーマート東苗穂８条店,北海道札幌市東区東苗穂８条２－３－５５,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
札幌日産北３６条店,北海道札幌市東区北３６条東１丁目４－１,011-751-2131,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス札幌北支店,北海道札幌市東区北２７条東１－１－１,011-752-5151,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
北海道日産東店,北海道札幌市東区東雁来４条１丁目１－８,011-784-2223,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
北海道日産北店,北海道札幌市東区北１９条東１丁目２－２０,011-711-3111,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
アリオ札幌,北海道札幌市東区北７条東９－２－２０,011-723-1111,09:00 ～ 22:00,1,0,提携,大規模小売店舗,JCN,,,【利用時間・駐車料金等】（注）詳細は店舗にお問い合わせください
イオンモール札幌苗穂,北海道札幌市東区東苗穂２条３－１－１,011-780-7600,09:00 ～ 20:00,1,1,提携,大規模小売店舗,NEC,,,
イオン札幌元町ショッピングセンター,北海道札幌市東区北３１条東１５－１－１,011-750-5200,09:00 ～ 20:00,1,1,提携,大規模小売店舗,NEC,,,
モトーレン札幌　ＨｉｇａｓｈｉＢＭＷ,北海道札幌市東区苗穂町５条３－２－１,,10:00 ～ 18:00,2,0,提携,その他,e-Moblity Power,,,【定休日等】月曜日、第二・第四・第五火曜日
Ａｕｄｉ札幌東,北海道札幌市東区東苗穂５条二丁目６－１０,011-786-1100,10:00 ～ 18:00,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】火曜日定休
紳士服の山下　新道東店,北海道札幌市東区北３３条東１７－４－２０,050-3173-5349,10:00 ～ 19:00,0,2,提携,小売店舗,ENECHANGE,NEW,2023年04月20日,【定休日等】利用日時制限あり
アリオ札幌,北海道札幌市東区北７条東９－２－２０,011-723-1111,09:00 ～ 22:00,0,133,提携,大規模小売店舗,JCN,,,【利用時間・駐車料金等】（注）詳細は店舗にお問い合わせください
ネッツトヨタ札幌　中央店,北海道札幌市東区北２５条東１丁目１番３８号,011-731-9111,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
ネッツトヨタ札幌　プラザかりき２７５,北海道札幌市東区東雁来六条１丁目３－２２,011-785-6111,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
トヨタカローラ札幌　ジョイック東苗穂,北海道札幌市東区本町２条１０丁目３－１５,011-782-5161,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨペット　クルマックス元町店,北海道札幌市東区北１３条東１５丁目３番１０号,011-782-6111,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨペット　東苗穂店,北海道札幌市東区東苗穂８条３丁目１番２号,011-780-1811,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨタ　新道店,北海道札幌市東区北３４条東１９丁目１－１,011-784-7211,09:30 ～ 17:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,, 【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
札幌トヨタ　北光支店,北海道札幌市東区北２５条東１丁目１番３３号,011-711-7191,09:30 ～ 17:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
ニトリ　新道店,北海道札幌市東区北３４条東２３－１－２５,,10:00 ～ 20:00,0,2,加盟,大規模小売店舗,日本ユニシス,,,
ラッキー菊水元町店,北海道札幌市白石区菊水元町３条２－２,,09:00 ～ 21:00,1,0,提携,大規模小売店舗,エネゲート,,,【定休日等】定休日・元旦　臨時休業は未定
ファミリーマート　札幌栄通店,北海道札幌市白石区栄通１－１－３６,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート札幌菊水元町２条店,北海道札幌市白石区菊水元町二条４丁目５－１２,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート札幌白石本通３丁目店,北海道札幌市白石区本通３丁目北７番１０号,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
日産プリンス札幌川下支店,北海道札幌市白石区川下４条３－４－１０,011-872-4523,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス札幌白石支店,北海道札幌市白石区中央２条７－１－４３,011-862-6411,24時間営業,1,0,提携,自動車ディーラー,e-Moblity Power,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
北海道日産白石店,北海道札幌市白石区本通１４丁目南５－１５,011-862-9051,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ネッツトヨタ札幌　東橋法人営業店,北海道札幌市白石区菊水９条１丁目３番１号,011-813-2121,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
ネッツトヨタ札幌　白石店,北海道札幌市白石区本通１４丁目南４番１号,011-864-8161,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
トヨタカローラ札幌　ジョイック南郷通,北海道札幌市白石区南郷通２１丁目南３,011-863-1666,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ道都　白石店,北海道札幌市白石区中央１条６丁目１２－１６,011-863-3211,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨペット　白石店,北海道札幌市白石区中央２条１－５－５５,011-821-0101,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨタ　白石支店,北海道札幌市白石区本通２１丁目南１－２３,011-864-1171,09:30 ～ 17:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,, 【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
札幌トヨタ　東札幌店,北海道札幌市白石区菊水６条４丁目３番２１号,011-823-2311,09:30 ～ 17:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,, 【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
北海道三菱自動車販売　豊平サービス工場,北海道札幌市豊平区豊平４条１２ー３ー３６,011-821-5288,10:00 ～ 18:00,1,0,提携,自動車ディーラー,エネゲート,,,【定休日等】火曜日、年末年始、GW、お盆、第１、3水曜日
ＢＲＡＮＣＨ札幌月寒,北海道札幌市豊平区月寒東三条１１丁目１番２４号,,24時間営業,2,0,提携,大規模小売店舗,エネゲート,,,
ラッキー西岡店,北海道札幌市豊平区西岡３条１１－３－１６,,09:00 ～ 21:00,1,0,提携,大規模小売店舗,エネゲート,,,【定休日等】定休日・元旦　臨時休業は未定
札幌トヨペット　レクサス月寒,北海道札幌市豊平区月寒東１条１４丁目１番２号,011-852-3333,09:30 ～ 17:45,1,0,提携,自動車ディーラー,エネゲート,,,【定休日等】毎週火曜、第2月曜。GW、年末年始など不定期に停止することがあります。充電時間1回30分迄。詳細は店舗へお問合せください。
ファミリーマート　札幌旭町７丁目店,北海道札幌市豊平区旭町７－４－１２,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート月寒東５条店,北海道札幌市豊平区月寒東５条７丁目４ー１３,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
日産プリンス札幌月寒支店,北海道札幌市豊平区月寒中央通１１－６－３７,011-852-3111,10:00 ～ 19:00,1,0,提携,自動車ディーラー,JCN,,,【定休日等】毎週火曜，年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
北海道日産月寒店,北海道札幌市豊平区月寒中央通１１丁目６－１,011-852-1535,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
イオン札幌西岡ショッピングセンター,北海道札幌市豊平区西岡３条３－４－１,011-856-1000,09:00 ～ 20:00,1,1,提携,大規模小売店舗,NEC,,,
Ａｕｄｉ月寒,北海道札幌市豊平区月寒東１条１６－１－１,011-851-3154,10:00 ～ 17:00,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】年末年始及び月曜日。但し､月曜日が祝日の場合は営業し､火曜日を定休日とする。
ホンダカーズ北海道　月寒羊ヶ丘店,北海道札幌市豊平区月寒東１条１８丁目５－９０,011-856-3311,09:30 ～ 18:00,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】毎週水曜日は定休日。年末年始・ＧＷなど不定期に停止することがあります。詳細はHonda Carsのﾎｰﾑﾍﾟｰｼﾞをご確認ください。
メルセデス・ベンツ札幌月寒,北海道札幌市豊平区月寒東１条１５－１６－１,011-851-3102,10:00 ～ 18:00,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】月曜日定休日（月曜が祝祭日の場合は火曜日）、第二火曜日定休日および年末年始
ビッグエムワン札幌羊ヶ丘通店,北海道札幌市豊平区福住１条５－４－８,050-3173-5349,10:30 ～ 19:30,0,1,提携,小売店舗,ENECHANGE,NEW,2023年04月20日,【定休日等】利用日時制限あり
ネッツトヨタ札幌　プラザつきさむ,北海道札幌市豊平区福住２条１丁目４番７号,011-851-2181,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
トヨタカローラ札幌　本店,北海道札幌市豊平区美園３条６丁目３－１０,011-820-1212,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ道都　平岸店,北海道札幌市豊平区平岸１条１０丁目２－４,011-824-5011,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨペット　月寒店,北海道札幌市豊平区月寒東１条１４丁目１番１号,011-858-8101,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨタ　月寒支店,北海道札幌市豊平区月寒中央通１０丁目２－１３,011-851-6121,09:30 ～ 17:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,, 【定休日等】毎週火曜。GW、 年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
羊ヶ丘カントリークラブ,北海道札幌市豊平区西岡５４９,011-581-3511,06:00 ～ 18:00,0,2,加盟,ゴルフ場,日本ユニシス,,,【定休日等】冬季休業期間：12月～3月（天候状況他による変動有）
ニトリ　美園店,北海道札幌市豊平区美園３条３－２－１０,,10:00 ～ 21:00,0,2,加盟,大規模小売店舗,日本ユニシス,,,
北海道エネルギー　チャレンジ川沿ＳＳ,北海道札幌市南区川沿十五条１丁目１－６５,011-572-7271,24時間営業,1,0,提携,ガソリンスタンド,エネゲート,,,
日産プリンス札幌川沿支店,北海道札幌市南区川沿９条１丁目２－４０,011-573-5523,24時間営業,1,0,提携,自動車ディーラー,e-Moblity Power,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
イオン札幌藻岩店,北海道札幌市南区川沿２条２－１－１,011-571-3100,09:00 ～ 20:00,1,1,提携,大規模小売店舗,NEC,,,
ネッツトヨタ札幌　藻岩店,北海道札幌市南区南３８条西１１丁目７番１号,011-583-5550,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
札幌トヨペット　藻岩店,北海道札幌市南区南３７条西１１丁目７番３号,011-581-2111,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨタ　藻岩支店,北海道札幌市南区南三十二条西１０－１－２６,011-581-3151,09:30 ～ 17:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,, 【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
まつの湯,北海道札幌市南区小金湯２４,011-596-2131,06:00 ～ 18:00,0,2,加盟,宿泊施設,日本ユニシス,,,【定休日等】年末年始、冬季期間（11月～4月の営業時間10:00～16:00）は予告なく休業する場合有
滝のカントリークラブ,北海道札幌市南区滝野２１３,011-591-5361,06:00 ～ 18:00,0,2,加盟,ゴルフ場,日本ユニシス,,,【定休日等】冬季休業期間：12月～3月（天候状況他による変動有）
ニトリ　川沿店,北海道札幌市南区川沿５条１－１－８０,,10:00 ～ 20:00,0,2,加盟,大規模小売店舗,日本ユニシス,,,
真駒内カントリークラブ,北海道札幌市南区常盤２００,011-592-4944,08:00 ～ 17:00,0,2,加盟,ゴルフ場,日本ユニシス,,,※カード非会員様への対応に現在不具合が生じております。申し訳ございませんが、非会員の方は他の充電器をご利用願います。【定休日等】冬季休業期間：11月～４月（天候状況他による変動有）
北海道三菱自動車販売（株）西店,北海道札幌市西区宮の沢２条４丁目１番２０号,011-661-3101,24時間営業,2,0,提携,自動車ディーラー,エネゲート,,,【利用不可日】年１回保守メンテナンスのため休止
北海道三菱自動車販売（株）発寒店,北海道札幌市西区発寒１３条１４丁目１０８０－３４,011-666-6611,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,【利用不可日】年1回メンテナンスのため休止
ラッキー発寒店,北海道札幌市西区発寒八条１３－１－２０,,09:00 ～ 21:00,1,0,提携,大規模小売店舗,エネゲート,,,
ラッキー山の手店,北海道札幌市西区山の手１条７,,09:00 ～ 21:00,1,0,提携,大規模小売店舗,エネゲート,,,【定休日等】定休日・元旦　臨時休業は未定
札幌トヨタ　レクサス宮の森,北海道札幌市西区二十四軒１条７丁目２番１８号,011-611-5000,09:30 ～ 18:00,1,0,提携,自動車ディーラー,エネゲート,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回30分迄。詳細は店舗へお問合せください。
北海道日産琴似店,北海道札幌市西区宮の沢１条２丁目３－８,011-661-0291,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
イオンモール札幌発寒,北海道札幌市西区発寒８条１２－１,011-669-5000,09:00 ～ 20:00,1,2,提携,大規模小売店舗,NEC,,,
モトーレン札幌　ＮｉｓｈｉＢＭＷ,北海道札幌市西区宮の沢１条４丁目１－３,011-676-1184,10:00 ～ 18:00,2,0,提携,その他,e-Moblity Power,,,【定休日等】月曜日、第二・第四・第五火曜日
ホンダカーズ北海道　宮の森店,北海道札幌市西区二十四軒３条７丁目２－２１,011-644-9301,09:30 ～ 18:00,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】毎週水曜日は定休日。年末年始・ＧＷなど不定期に停止することがあります。詳細はHonda Carsのﾎｰﾑﾍﾟｰｼﾞをご確認ください。
メルセデス・ベンツ札幌西,北海道札幌市西区西町南１５－１－３２,011-664-2180,10:00 ～ 18:00,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】月曜日定休日（月曜が祝祭日の場合は火曜日）、第二火曜日定休日および年末年始
ネッツトヨタ札幌　西町店,北海道札幌市西区西町南１１丁目１－３０,011-661-5351,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週火曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
トヨタカローラ札幌　八軒店,北海道札幌市西区八軒５条西１０丁目５－１,011-614-5111,09:00 ～ 17:15,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタカローラ札幌　ジョイック西,北海道札幌市西区西町南１０－１－３２,011-662-6151,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨペット　発寒店,北海道札幌市西区発寒１３条３丁目７番４８号,011-665-4820,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨペット　クルマックス琴似店,北海道札幌市西区二十四軒三条７丁目４番２１号,011-631-3131,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨタ　西野店,北海道札幌市西区西野３条２丁目１－１１,011-665-3111,09:30 ～ 17:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,, 【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
北海道三菱自動車販売（株）厚別通店,北海道札幌市厚別区厚別西５条６丁目１－１,011-891-6111,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,【利用不可日】年1回メンテナンスのため休止
北海道エネルギー　チャレンジ新札幌ＳＳ,北海道札幌市厚別区厚別中央三条６丁目１－１１,011-894-8412,24時間営業,1,0,提携,ガソリンスタンド,エネゲート,,,
ファミリーマート　札幌大谷地西１丁目店,北海道札幌市厚別区大谷地西１－３－１４,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
札幌日産新さっぽろ店,北海道札幌市厚別区厚別中央１条５丁目１－１５,011-892-8131,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
